Country,Clicks,Impressions,CTR,Position
Panama,232,14811,1.57%,8.69
United States,46,7464,0.62%,26.37
Spain,23,1032,2.23%,22.57
Canada,14,924,1.52%,18.88
Netherlands,11,1131,0.97%,24.31
United Kingdom,8,1012,0.79%,25.11
Germany,8,479,1.67%,9.19
Costa Rica,7,419,1.67%,9.58
Argentina,6,203,2.96%,14.91
Belgium,5,322,1.55%,43.11
Mexico,4,373,1.07%,17.09
Uruguay,4,78,5.13%,15.64
France,3,168,1.79%,13.27
Switzerland,3,96,3.12%,9.26
Barbados,3,36,8.33%,8.36
Colombia,2,437,0.46%,16.57
Brazil,2,223,0.9%,11.41
Peru,2,134,1.49%,17.49
Italy,2,105,1.9%,9.57
Curaçao,2,37,5.41%,5.95
Ecuador,1,155,0.65%,12.77
Philippines,1,143,0.7%,34.78
Israel,1,78,1.28%,21.6
Puerto Rico,1,65,1.54%,13.11
Jamaica,1,47,2.13%,8.47
Denmark,1,43,2.33%,17.14
Hungary,1,35,2.86%,21.8
Norway,1,32,3.12%,21.84
Malta,1,30,3.33%,13.2
India,0,228,0%,32.75
Australia,0,143,0%,32.01
Guatemala,0,129,0%,14.66
Chile,0,112,0%,19.5
Indonesia,0,97,0%,29.99
Vietnam,0,95,0%,32.63
Thailand,0,83,0%,28.98
El Salvador,0,76,0%,10.7
United Arab Emirates,0,67,0%,12.16
Ireland,0,66,0%,13.05
South Korea,0,59,0%,21.59
Turkey,0,59,0%,32.76
Malaysia,0,56,0%,42.68
Russia,0,55,0%,31.09
Venezuela,0,52,0%,21.92
Sweden,0,51,0%,20.02
Dominican Republic,0,50,0%,11.16
Hong Kong,0,49,0%,7.94
Austria,0,48,0%,11.17
Greece,0,46,0%,17.48
Nicaragua,0,43,0%,21.07
Poland,0,40,0%,16.8
Honduras,0,40,0%,18.52
Bahamas,0,39,0%,17.26
Pakistan,0,39,0%,32.28
Portugal,0,37,0%,6.84
Trinidad & Tobago,0,37,0%,7.08
Ukraine,0,37,0%,21.76
Bangladesh,0,37,0%,36.95
Morocco,0,35,0%,31.74
Japan,0,32,0%,8.19
Saudi Arabia,0,32,0%,31.38
China,0,27,0%,6.81
Singapore,0,25,0%,19.52
Jordan,0,25,0%,35.04
Guyana,0,24,0%,9.42
Czechia,0,24,0%,19.5
Finland,0,23,0%,16.17
Lithuania,0,23,0%,23.17
Romania,0,22,0%,26.82
New Zealand,0,22,0%,33.32
Cyprus,0,22,0%,36.09
Andorra,0,20,0%,23.55
Algeria,0,20,0%,29.75
Cayman Islands,0,19,0%,7.37
Belize,0,19,0%,15.47
Slovenia,0,19,0%,22.11
South Africa,0,19,0%,30
Paraguay,0,18,0%,26.5
Croatia,0,17,0%,25.88
Aruba,0,16,0%,7.31
Taiwan,0,16,0%,12.38
Nigeria,0,15,0%,18.4
Estonia,0,14,0%,20.79
Bulgaria,0,13,0%,19.62
Serbia,0,13,0%,27.85
Suriname,0,12,0%,7.5
Iceland,0,12,0%,37.75
Kenya,0,11,0%,22.45
Latvia,0,11,0%,35.64
Iraq,0,10,0%,21.4
Albania,0,10,0%,25.4
Martinique,0,8,0%,14.38
Macedonia,0,8,0%,36.62
Slovakia,0,7,0%,22.43
Luxembourg,0,7,0%,23.43
Bolivia,0,7,0%,26.86
Bosnia & Herzegovina,0,7,0%,41.57
Sri Lanka,0,6,0%,9
Georgia,0,6,0%,22.5
Qatar,0,6,0%,23.83
Haiti,0,6,0%,28.67
Sint Maarten,0,5,0%,9.8
Cuba,0,5,0%,10
Bermuda,0,4,0%,8.25
Egypt,0,4,0%,26
Azerbaijan,0,4,0%,27.25
Montenegro,0,4,0%,37
Kuwait,0,4,0%,37.75
Kyrgyzstan,0,3,0%,8.33
Zimbabwe,0,3,0%,11.33
Myanmar (Burma),0,3,0%,15.33
Cambodia,0,3,0%,31
Liechtenstein,0,3,0%,32
Macau,0,2,0%,2.5
Uzbekistan,0,2,0%,3.5
Ethiopia,0,2,0%,4.5
St. Kitts & Nevis,0,2,0%,4.5
Iran,0,2,0%,7
Anguilla,0,2,0%,8.5
Tanzania,0,2,0%,9
St. Lucia,0,2,0%,9.5
St. Martin,0,2,0%,10.5
Caribbean Netherlands,0,2,0%,12
Grenada,0,2,0%,13.5
Tunisia,0,2,0%,17.5
Oman,0,2,0%,18.5
Armenia,0,2,0%,22
Lebanon,0,2,0%,33
Ghana,0,2,0%,38.5
Bahrain,0,2,0%,49.5
Fiji,0,1,0%,1
Isle of Man,0,1,0%,1
Moldova,0,1,0%,1
Zambia,0,1,0%,2
Syria,0,1,0%,6
Yemen,0,1,0%,6
American Samoa,0,1,0%,7
Bhutan,0,1,0%,7
Dominica,0,1,0%,8
Gambia,0,1,0%,8
Madagascar,0,1,0%,9
Cameroon,0,1,0%,10
Guadeloupe,0,1,0%,10
Maldives,0,1,0%,10
British Virgin Islands,0,1,0%,10
French Guiana,0,1,0%,11
Mozambique,0,1,0%,11
Palestine,0,1,0%,11
Brunei,0,1,0%,12
Unknown Region,0,1,0%,12
Turks & Caicos Islands,0,1,0%,15
Nepal,0,1,0%,58
Belarus,0,1,0%,75
