Date,Not indexed,Indexed,Impressions
2026-06-04,2,0,
2026-06-05,12,11,0
2026-06-06,12,11,0
2026-06-07,12,11,10
2026-06-08,8,17,86
2026-06-09,8,17,65
2026-06-10,8,17,85
2026-06-11,8,17,121
2026-06-12,10,30,80
2026-06-13,10,30,128
2026-06-14,10,30,149
2026-06-15,10,30,97
2026-06-16,10,30,101
2026-06-17,10,30,96
2026-06-18,10,30,143
2026-06-19,10,30,109
2026-06-20,10,30,71
2026-06-21,10,30,59
2026-06-22,10,30,101
2026-06-23,10,30,146
2026-06-24,10,30,83
2026-06-25,10,30,87
2026-06-26,10,30,190
2026-06-27,10,30,262
2026-06-28,10,30,211
2026-06-29,10,30,188
2026-06-30,9,31,297
2026-07-01,9,31,186
2026-07-02,9,31,247
2026-07-03,9,31,301
2026-07-04,9,31,349
2026-07-05,9,31,239
2026-07-06,9,31,271
2026-07-07,9,31,257
2026-07-08,9,31,285
2026-07-09,9,31,351
