Date,Clicks,Impressions,CTR,Position
2026-06-07,0,0,,
2026-06-08,0,10,0%,27.4
2026-06-09,0,86,0%,20.2
2026-06-10,0,65,0%,31.3
2026-06-11,0,85,0%,32
2026-06-12,0,121,0%,41.5
2026-06-13,0,80,0%,46.9
2026-06-14,0,128,0%,41.1
2026-06-15,0,149,0%,30.6
2026-06-16,0,97,0%,40.2
2026-06-17,0,101,0%,40.5
2026-06-18,1,96,1.04%,34.9
2026-06-19,1,143,0.7%,32.7
2026-06-20,0,109,0%,40.6
2026-06-21,1,71,1.41%,52.1
2026-06-22,0,59,0%,41.5
2026-06-23,0,101,0%,51.2
2026-06-24,0,146,0%,35.9
2026-06-25,2,83,2.41%,39.1
2026-06-26,0,87,0%,52
2026-06-27,0,190,0%,28
2026-06-28,4,262,1.53%,27.6
2026-06-29,4,211,1.9%,23.3
2026-06-30,3,188,1.6%,26.1
2026-07-01,4,297,1.35%,25.7
2026-07-02,5,186,2.69%,23.8
2026-07-03,3,247,1.21%,16.5
2026-07-04,2,301,0.66%,17.9
2026-07-05,6,349,1.72%,16.5
2026-07-06,2,239,0.84%,19.2
2026-07-07,3,271,1.11%,24.9
2026-07-08,4,257,1.56%,21.1
2026-07-09,3,285,1.05%,21.4
2026-07-10,3,351,0.85%,16.8
2026-07-11,3,315,0.95%,22.6
2026-07-12,5,384,1.3%,21.1
2026-07-13,2,256,0.78%,22
2026-07-14,9,269,3.35%,16.7
