Country,Clicks,Impressions,CTR,Position
Panama,38,2138,1.78%,10.5
United States,12,2074,0.58%,35.22
Spain,5,144,3.47%,36.33
Netherlands,3,504,0.6%,32.51
Germany,2,141,1.42%,9.91
France,2,34,5.88%,16.5
United Kingdom,1,269,0.37%,40.39
Belgium,1,153,0.65%,54.8
Costa Rica,1,60,1.67%,14.6
Argentina,1,27,3.7%,27.59
Switzerland,1,15,6.67%,5.47
Puerto Rico,1,15,6.67%,19.2
Curaçao,1,11,9.09%,6.18
Barbados,1,2,50%,6
Canada,0,193,0%,31.56
Colombia,0,67,0%,31.13
Mexico,0,65,0%,30.15
India,0,43,0%,39.79
Australia,0,39,0%,51.62
Brazil,0,36,0%,18.89
Italy,0,30,0%,16
Peru,0,25,0%,26.44
Chile,0,24,0%,38.83
Philippines,0,24,0%,42.21
Guatemala,0,22,0%,25.91
Israel,0,21,0%,40.57
Austria,0,16,0%,15.5
China,0,15,0%,6.07
Venezuela,0,15,0%,32.07
Indonesia,0,15,0%,37.27
Ecuador,0,14,0%,38.57
Sweden,0,14,0%,40.79
South Korea,0,14,0%,45.64
Greece,0,13,0%,24.23
Bahamas,0,13,0%,28.69
Uruguay,0,12,0%,29.75
Hungary,0,11,0%,24.64
Malaysia,0,11,0%,39.82
New Zealand,0,11,0%,47.82
Denmark,0,10,0%,37.8
Pakistan,0,10,0%,45.4
Japan,0,9,0%,6.56
Honduras,0,9,0%,31.67
Nicaragua,0,9,0%,47
Portugal,0,8,0%,6.12
Vietnam,0,8,0%,22.5
El Salvador,0,8,0%,22.62
Poland,0,8,0%,38.62
Malta,0,7,0%,18.14
Kenya,0,7,0%,19.71
Cyprus,0,7,0%,27.86
Dominican Republic,0,7,0%,29.86
Ireland,0,7,0%,44.29
Ukraine,0,6,0%,18.83
Hong Kong,0,6,0%,19
Russia,0,6,0%,23.5
South Africa,0,6,0%,27.83
United Arab Emirates,0,6,0%,31.67
Slovenia,0,6,0%,33.5
Romania,0,6,0%,36
Turkey,0,5,0%,11
Jamaica,0,5,0%,15.4
Saudi Arabia,0,5,0%,21.2
Thailand,0,5,0%,22.4
Andorra,0,5,0%,29.2
Luxembourg,0,5,0%,29.6
Nigeria,0,5,0%,29.6
Serbia,0,5,0%,30.6
Paraguay,0,5,0%,37.6
Iceland,0,5,0%,40.6
Bangladesh,0,5,0%,42.2
Lithuania,0,5,0%,48
Norway,0,5,0%,50.8
Croatia,0,4,0%,14.25
Morocco,0,4,0%,18.5
Finland,0,4,0%,19.25
Belize,0,4,0%,21.75
Estonia,0,4,0%,26.25
Macedonia,0,4,0%,29.5
Bulgaria,0,4,0%,31.25
Albania,0,4,0%,42.75
Iraq,0,3,0%,8.67
Aruba,0,3,0%,9
Suriname,0,3,0%,9.67
Cuba,0,3,0%,10.67
Cayman Islands,0,3,0%,11
Guyana,0,3,0%,29.33
Cambodia,0,3,0%,31
Azerbaijan,0,3,0%,33
Bosnia & Herzegovina,0,3,0%,37.33
Latvia,0,3,0%,39.33
Qatar,0,3,0%,44
Sri Lanka,0,2,0%,3.5
Iran,0,2,0%,7
Trinidad & Tobago,0,2,0%,7.5
Czechia,0,2,0%,10.5
Armenia,0,2,0%,22
Kuwait,0,2,0%,22.5
Montenegro,0,2,0%,26
Singapore,0,2,0%,30.5
Lebanon,0,2,0%,33
Slovakia,0,2,0%,34
Bahrain,0,2,0%,49.5
Haiti,0,2,0%,70
Uzbekistan,0,1,0%,3
Myanmar (Burma),0,1,0%,5
Syria,0,1,0%,6
Taiwan,0,1,0%,9
British Virgin Islands,0,1,0%,10
Caribbean Netherlands,0,1,0%,11
Palestine,0,1,0%,11
Sint Maarten,0,1,0%,11
Bermuda,0,1,0%,12
Unknown Region,0,1,0%,12
Liechtenstein,0,1,0%,23
Zimbabwe,0,1,0%,27
Tunisia,0,1,0%,34
Algeria,0,1,0%,64
Georgia,0,1,0%,88
